assetId,assetName,assetDesc
61,Hands-On Kubernetes on Azure,"A practical guide for deploying and managing Kubernetes on the Azure cloud platform. Covers topics such as Kubernetes architecture, cluster setup, and scaling."
62,GCP for Beginners,"A beginner's guide to the Google Cloud Platform, covering topics such as infrastructure, storage, and compute."
63,Cloud Security and Privacy,"An in-depth guide to cloud security and privacy, covering topics such as data protection, access control, and threat detection."
64,AWS Certified Developer Associate Exam Prep,"A comprehensive study guide for the AWS Certified Developer Associate exam, covering topics such as AWS services, deployment, and security."
65,Azure Data Factory Cookbook,"A practical guide to using Azure Data Factory, covering topics such as data integration, ETL, and data transformation."
66,Docker on AWS,"A guide to running Docker containers on AWS, covering topics such as containerization, deployment, and orchestration."
67,Building and Managing Serverless Applications on AWS,"A practical guide to building and deploying serverless applications on AWS, covering topics such as Lambda, API Gateway, and DynamoDB."
68,Mastering Azure Analytics,"A comprehensive guide to Azure Analytics, covering topics such as data warehousing, data lakes, and data visualization."
69,Architecting for the Cloud: AWS Best Practices,"A guide to designing and implementing cloud solutions on AWS, covering topics such as security, scalability, and fault tolerance."
70,Practical Google Cloud Platform,"A hands-on guide to the Google Cloud Platform, covering topics such as compute, storage, and networking."
71,Microsoft Azure Infrastructure Services for Architects,A comprehensive guide to designing and managing Azure infrastructure services for architects.
72,Big Data Analytics with Azure,An in-depth exploration of big data analytics using Azure's services and tools.
73,Google Cloud Platform Cookbook,A practical cookbook for developers to build and deploy applications on the Google Cloud Platform.
74,AWS Certified SysOps Administrator Official Study Guide,A guide for individuals preparing for the AWS Certified SysOps Administrator certification exam.
75,Deploying and Managing Applications on Azure,"A guide to deploying and managing applications on Azure, covering topics such as deployment, scaling, and monitoring."
76,Azure Data Engineering Cookbook,A comprehensive guide to building data engineering solutions using Azure's services and tools.
77,GCP for Business Leaders,A beginner's guide to understanding Google Cloud Platform and how it can benefit businesses.
78,AWS Networking Cookbook,"A guide to networking in AWS, covering topics such as VPCs, security groups, and network monitoring."
79,Azure DevOps for Web Developers,A practical guide for web developers to use Azure DevOps for continuous integration and delivery.
80,Cloud Computing and Security,An overview of cloud computing security risks and best practices to mitigate them.
81,Google Cloud Platform for Architects,This book is a comprehensive guide for architects and developers to design and implement solutions using Google Cloud Platform.
82,AWS Certified Cloud Practitioner Exam Prep,This book covers all the topics required to pass the AWS Certified Cloud Practitioner certification exam.
83,Building Applications on Azure,"This book teaches how to build cloud-native applications on Azure using different services such as App Service, Functions, and Cosmos DB."
84,GCP for DevOps,"This book provides an introduction to Google Cloud Platform for DevOps engineers and covers topics like deployment, automation, and monitoring."
85,AWS Certified Security Specialty Exam Prep,This book provides in-depth coverage of security topics required to pass the AWS Certified Security Specialty certification exam.
86,Azure Machine Learning Studio Cookbook,"This book covers the Azure Machine Learning Studio and teaches how to build, train, and deploy machine learning models using the Azure platform."
87,Deploying Applications with Docker and AWS,This book explains how to deploy and manage applications using Docker on AWS.
88,Mastering Google Cloud Platform,This book covers advanced topics and best practices for designing and implementing solutions on Google Cloud Platform.
89,AWS Certified Solutions Architect Professional Exam Prep,This book is a comprehensive guide for the AWS Certified Solutions Architect Professional certification exam.
90,Implementing DevOps on Azure,This book teaches how to implement DevOps practices on Azure using tools like Azure DevOps and Jenkins.
91,Cloud Computing and Virtualization,"This book explains how virtualization is used in cloud computing, the advantages of virtualization, and its various types."
92,GCP for Data Analysts,"This book provides data analysts with a comprehensive guide to using Google Cloud Platform for data analysis, including data storage, processing, and visualization."
93,Mastering AWS Security,"This book covers security aspects of AWS, including Identity and Access Management, Security Groups, and Network Security."
94,Microsoft Azure Cosmos DB Revealed,"This book provides an overview of Azure Cosmos DB, including data modeling, partitioning, and querying data using APIs."
95,Google Cloud Platform for Machine Learning,"This book covers the machine learning capabilities of Google Cloud Platform, including AutoML, TensorFlow, and machine learning APIs."
96,AWS Lambda in Action,"This book provides a comprehensive guide to using AWS Lambda for building serverless applications, including configuration, deployment, and testing."
97,Azure DevOps for Architects,"This book covers DevOps processes, practices, and tools in the context of Microsoft Azure, including Continuous Integration, Delivery, and Deployment."
98,Cloud Computing and IoT,"This book explores the role of cloud computing in the Internet of Things (IoT), including how cloud services can support IoT applications."
99,GCP for Data Engineers,"This book provides data engineers with a comprehensive guide to using Google Cloud Platform for data processing, storage, and analysis."
100,Azure for Architects,"This book provides an overview of Microsoft Azure architecture, including designing and implementing solutions using Azure services."
101,An Introduction to Google Cloud SQL,"An introductory guide to Google Cloud SQL that covers its architecture, features, and how to get started with using it for building applications."
102,An overview of AWS SageMaker: Machine learning made easy,"A comprehensive guide to AWS SageMaker that covers how it simplifies the process of building, training, and deploying machine learning models in the cloud."
103,An Overview of Google Cloud CDN,"An overview of Google Cloud CDN, its benefits, and how to get started with using it for delivering content to users across the globe."
104,An Overview of Google Cloud Functions,"A beginner-friendly introduction to Google Cloud Functions that covers its features, benefits, and how to use it for building serverless applications."
105,An Overview of Google Cloud Platform's Security,"An overview of the security features provided by Google Cloud Platform, including identity and access management, data protection, and network security."
106,An Overview of Google Cloud Spanner,"An introduction to Google Cloud Spanner, a fully managed relational database service that offers scalability, availability, and strong consistency."
107,AWS CloudTrail: Tracking user activity and API usage,"A detailed guide to AWS CloudTrail, a service that enables you to monitor and log user activity and API usage across your AWS infrastructure."
108,AWS CloudWatch: Monitoring and logging for your applications,"An in-depth look at AWS CloudWatch, a monitoring and logging service that helps you monitor your applications, resources, and services in real-time."
109,AWS CodeCommit: A managed source control service,"A practical guide to AWS CodeCommit, a managed source control service that enables you to store, manage, and version your code securely in the cloud."
110,AWS Elastic Beanstalk: Deploy web applications at scale,"A hands-on tutorial on AWS Elastic Beanstalk, a fully managed service that makes it easy to deploy and run web applications at scale in the AWS Cloud."
111,AWS IoT: Building internet of things applications,"A guide to building IoT applications using AWS IoT, a platform for connecting and managing IoT devices and data."
112,AWS Lambda vs EC2: Choosing the right compute service,"A comparison of AWS Lambda, a serverless compute service, and Amazon EC2, a traditional compute service, to help users choose the right service for their application."
113,Azure Active Directory,A cloud-based identity and access management service from Microsoft Azure that provides single sign-on and multi-factor authentication for applications and resources.
114,Azure Active Directory for Identity and Access Management,A guide to using Azure Active Directory for identity and access management in cloud-based applications and services.
115,Azure API Management,"A platform for building, publishing, and managing APIs with security, scalability, and analytics features."
116,Azure Arc for Hybrid and Multi-Cloud Management,"A service that enables management and governance of resources across on-premises, multi-cloud, and edge environments from a single control plane."
117,Azure Backup for Cloud Data Protection,"A service that provides backup and recovery for Azure virtual machines, on-premises machines, and Azure file shares."
118,Azure Batch for High-performance Computing,A service that enables batch processing and high-performance computing for large-scale parallel and compute-intensive workloads.
119,Azure Cognitive Services for AI Applications,"A suite of pre-built APIs and SDKs for building intelligent applications that can see, hear, speak, and understand natural language."
120,Azure Container Instances for Container Deployment,A service that provides a quick and easy way to run containers in Azure with no infrastructure to manage.
121,Azure Cosmos DB for Globally Distributed Applications,Learn how to use Azure Cosmos DB to build globally distributed applications that can provide low latency and high throughput to users worldwide.
122,Azure Cosmos DB for NoSQL Data,"Discover how to use Azure Cosmos DB, a fully managed NoSQL database service, to store and query data at scale with low latency and high availability."
123,Azure Data Factory for Data Integration and ETL,"Explore how to use Azure Data Factory, a fully managed, cloud-based data integration service, to orchestrate and automate data movement and transformation in the cloud."
124,Azure Data Lake Storage for Big Data Analytics,Learn how to use Azure Data Lake Storage to store and analyze large amounts of data with low latency and high performance.
125,Azure DevOps for CI/CD,Discover how to use Azure DevOps to implement continuous integration and delivery in your applications.
126,Azure DevOps for CI/CD Pipeline,Explore how to use Azure DevOps to create and manage continuous integration and delivery pipelines in your applications.
127,Azure DevOps for Continuous Integration and Deployment,Learn how to use Azure DevOps to implement continuous integration and deployment (CI/CD) in your applications.
128,Azure Event Grid for Event-driven Architecture,Discover how to use Azure Event Grid to build event-driven architectures and create custom event handlers for your applications.
129,Azure ExpressRoute for Dedicated Network Connection,"Learn how to use Azure ExpressRoute to create a dedicated, private connection between your on-premises infrastructure and Azure."
130,Azure Firewall for Network Security,Explore how to use Azure Firewall to protect your applications and data from threats by filtering network traffic and applying security policies.
131,Azure Front Door for Web Applications,A cloud-based service that optimizes web app performance and global routing for faster and secure user experience.
132,Azure Functions for Serverless Computing,A serverless compute service that allows running code on-demand without worrying about infrastructure.
133,Azure IoT Hub for Internet of Things Applications,"A scalable cloud-based service that connects, monitors, and manages Internet of Things (IoT) devices securely."
134,Azure IoT Hub for IoT Solutions,Azure IoT Hub provides tools to build scalable and secure IoT solutions with real-time analytics and monitoring.
135,Azure Kubernetes Service for Container Orchestration,"A fully managed container orchestration service that simplifies the deployment, scaling, and management of containerized applications."
136,Azure Machine Learning for Predictive Analytics,"A cloud-based service for building, training, and deploying machine learning models at scale."
137,Azure Monitor for Cloud Monitoring,Azure Monitor is a platform that provides end-to-end monitoring solutions for your cloud resources and applications.
138,Azure Security Best Practices,Azure Security Best Practices provides guidance and recommendations for securing your Azure resources and applications.
139,Azure Security Center,A unified security management system that provides threat protection across all your Azure workloads.
140,Azure Service Bus for Reliable Messaging,A cloud messaging service that facilitates communication between different applications and services securely and reliably.
141,Azure Site Recovery,Azure service for disaster recovery and business continuity to keep workloads and applications available
142,Azure SQL Database,Azure's fully managed relational cloud database service
143,Azure Stack,A hybrid cloud computing solution that lets you use Azure services from your company's or service provider's datacenter
144,Azure Storage,Azure's cloud storage service that provides data storage and backup solutions
145,Azure Stream Analytics,Real-time analytics and complex event processing over data streams in the cloud
146,Azure Synapse Analytics,A cloud-based analytics service that can perform big data processing tasks
147,Azure Traffic Manager,A traffic routing solution to optimize and manage global traffic distribution
148,Azure Virtual Desktop,A cloud-based service for virtualizing Windows desktops and apps
149,Azure SQL Database for Cloud-Based Database Management,"A fully managed, scalable, and secure relational database for cloud-based applications"
150,Azure SQL Database for Data Management,A cloud-based database management system that provides built-in intelligence and robust security
151,Azure Virtual WAN for Secure and Optimized Connectivity,"This book is a guide to understanding and implementing Azure Virtual WAN for secure and optimized connectivity across your cloud infrastructure. It covers best practices for design, deployment, and management of Azure Virtual WAN."
152,Best Practices for Azure Security,"This book covers best practices for securing your Azure resources, including identity and access management, network security, and data protection. It also provides guidance on compliance and governance in the Azure environment."
153,Best Practices for Data Management on Google Cloud Platform,"This book covers best practices for data management on Google Cloud Platform, including data storage, processing, and analysis. It also covers security and compliance considerations for data management in the cloud."
154,Best practices for securing your cloud environment,"This book covers best practices for securing your cloud environment, including identity and access management, network security, data protection, and compliance. It also provides guidance on monitoring and incident response in the cloud."
155,Big Data Processing with Google Cloud Platform,"This book is a guide to processing and analyzing big data with Google Cloud Platform, including tools like BigQuery, Dataflow, and Dataproc. It covers best practices for data processing, analysis, and visualization in the cloud."
156,Building a Cloud Center of Excellence: A Comprehensive Guide,"This book provides a comprehensive guide to building a Cloud Center of Excellence (CCOE) for managing cloud adoption in your organization. It covers best practices for governance, operations, and security in the cloud."
157,Building a cloud-native data warehouse,"This book is a guide to building a cloud-native data warehouse using modern cloud technologies like AWS, Azure, and Google Cloud Platform. It covers best practices for data modeling, ETL, and analytics in the cloud."
158,Building a resilient cloud architecture,"This book covers best practices for building a resilient cloud architecture that can withstand outages, disasters, and other disruptions. It covers topics like fault tolerance, disaster recovery, and high availability in the cloud."
159,Building an effective disaster recovery plan for the cloud,"This book is a guide to building an effective disaster recovery plan for your cloud environment. It covers best practices for backup, replication, and failover in the cloud, as well as monitoring and testing your disaster recovery plan."
160,Building and Managing Virtual Networks on Azure,"This book is a guide to building and managing virtual networks on Azure. It covers best practices for designing, deploying, and securing virtual networks, as well as managing network traffic and connectivity."
161,Building Applications with Google Cloud Firestore,"This course teaches how to build scalable and secure cloud-based applications using Google Cloud Firestore, a NoSQL document database. Participants will learn how to use Firestore to store, retrieve, and query data, as well as how to integrate it with other Google Cloud services."
162,Building data pipelines with AWS Glue and Amazon Athena,"This course covers how to build scalable and cost-effective data pipelines using AWS Glue, a fully managed ETL service, and Amazon Athena, a serverless query service. Participants will learn how to transform and process data in various formats and use Athena to query and analyze data stored in Amazon S3."
163,Building Microservices with Azure Service Fabric,"This course teaches how to design, develop, and deploy microservices-based applications using Azure Service Fabric, a distributed systems platform. Participants will learn how to build and manage microservices, use Service Fabric to manage and deploy them, and integrate them with other Azure services."
164,Building real-time applications with AWS AppSync,"This course teaches how to build real-time applications using AWS AppSync, a fully managed GraphQL service. Participants will learn how to create and deploy GraphQL APIs, use real-time data synchronization, and integrate with other AWS services such as DynamoDB, Lambda, and Elasticsearch."
165,Building scalable cloud applications with microservices,"This course covers how to design, develop, and deploy scalable and resilient cloud-based applications using microservices architecture. Participants will learn how to build and manage microservices, use container orchestration platforms such as Kubernetes and Docker Swarm, and integrate with cloud-native services such as AWS Lambda and Azure Functions."
166,Building Serverless Applications on Azure,"This course teaches how to build and deploy serverless applications using Azure Functions, Logic Apps, and Event Grid. Participants will learn how to design, develop, and deploy event-driven applications, use serverless compute and storage, and integrate with other Azure services."
167,Building serverless applications with AWS Lambda,"This course covers how to build and deploy serverless applications using AWS Lambda, a compute service that runs code in response to events. Participants will learn how to create and deploy Lambda functions, use serverless data storage and messaging services, and integrate with other AWS services."
168,Cloud AI: Harnessing the Power of Artificial Intelligence in the Cloud,"This course covers the basics of artificial intelligence and machine learning, and how to leverage cloud-based AI services such as AWS AI, Google Cloud AI, and Azure AI to build intelligent applications. Participants will learn how to use AI services for image and speech recognition, natural language processing, and predictive analytics."
169,Cloud Analytics: Driving Business Insights with Data,"This course teaches how to use cloud-based analytics services such as AWS Athena, Google BigQuery, and Azure Synapse Analytics to process and analyze large amounts of data. Participants will learn how to create data pipelines, perform data transformations and aggregations, and visualize data using BI tools."
170,Cloud Automation: Streamlining Your Business Processes,"This course covers how to automate and streamline business processes using cloud-based automation services such as AWS Step Functions, Google Cloud Workflows, and Azure Logic Apps. Participants will learn how to create and manage workflows, integrate with other cloud services, and monitor and troubleshoot automation processes."
171,Cloud Automation: Streamlining Your IT Operations,"This course provides insights on automating IT operations in the cloud environment for improved efficiency and scalability using tools like Ansible, Terraform, and CloudFormation."
172,Cloud Backup and Disaster Recovery: Planning for the Unexpected,"This course helps plan for unexpected events in the cloud environment by implementing a robust backup and disaster recovery strategy using AWS Backup, Azure Site Recovery, and Google Cloud Storage."
173,Cloud Compliance: Navigating Regulatory Requirements in the Cloud,This course provides an understanding of regulatory requirements and compliance standards for the cloud environment and how to ensure compliance using tools like Azure Policy and AWS Config.
174,Cloud Computing 101: An Introduction,"This course is an introduction to cloud computing, including basic concepts, types of cloud services, and the benefits of cloud computing."
175,Cloud Computing and Big Data: A Perfect Match?,"This course explores how cloud computing and big data are a perfect match, providing an overview of big data technologies and how they can be implemented in cloud environments using AWS EMR, Google BigQuery, and Azure HDInsight."
176,Cloud Computing and Cybersecurity: Protecting Your Business,"This course provides insights on securing cloud environments and protecting businesses from cyber threats using tools like AWS Security Hub, Azure Security Center, and Google Cloud Armor."
177,Cloud Computing and Data Privacy: What You Need to Know,"This course covers data privacy regulations and how they affect cloud computing, including GDPR, HIPAA, and CCPA, as well as best practices for data privacy in the cloud using tools like AWS KMS, Azure Key Vault, and Google Cloud HSM."
178,Cloud Computing and E-Commerce: Opportunities and Benefits,"This course explores the opportunities and benefits of cloud computing in e-commerce, including increased scalability, reduced costs, and improved customer experience using tools like AWS Elastic Beanstalk, Azure App Service, and Google Cloud Run."
179,Cloud Computing and Healthcare: Opportunities and Challenges,"This course provides insights on the opportunities and challenges of cloud computing in healthcare, including regulatory compliance, data security, and HIPAA compliance, as well as how to leverage cloud computing tools like AWS Comprehend Medical, Azure API for FHIR, and Google Healthcare API."
180,Cloud Computing and the Financial Services Industry,"This course explores the use of cloud computing in the financial services industry, including compliance requirements, risk management, and fraud detection, as well as how to implement cloud computing tools like AWS Personalize, Azure Machine Learning, and Google Cloud AI Platform for improved customer experience and operational efficienc"
181,Cloud Computing and the Future of Artificial Intelligence,This article explores the role of cloud computing in enabling and accelerating the development of AI.
182,Cloud Computing and the Gaming Industry,This article examines how cloud computing is transforming the gaming industry with its scalability and agility.
183,Cloud Computing and the Internet of Things (IoT),This article discusses the potential of cloud computing to power the Internet of Things (IoT) revolution.
184,Cloud Computing and Video Streaming: Challenges and Solutions,This article looks at the challenges facing video streaming services and how cloud computing can address them.
185,Cloud Computing for E-commerce: Optimizing Your Online Business,This article discusses the benefits of cloud computing for e-commerce businesses in terms of scalability and cost-effectiveness.
186,Cloud Computing for Education: Enabling Digital Learning,"This article explores the impact of cloud computing on the education industry, enabling digital learning."
187,Cloud Computing for Finance: Enhancing Financial Services,This article examines how cloud computing can enhance financial services with its flexibility and scalability.
188,Cloud Computing for Gaming: Enhancing the Gaming Experience,This article looks at how cloud computing can improve the gaming experience with reduced latency and enhanced graphics.
189,Cloud Computing for Government: Improving Citizen Services,This article discusses the use of cloud computing in the public sector to enhance citizen services and efficiency.
190,Cloud Computing for Legal Firms: Streamlining Legal Processes,"This article explores the benefits of cloud computing for legal firms, including increased efficiency and cost savings."
191,Cloud Computing for Marketing: Personalizing the Customer Experience,"Learn how cloud computing is helping businesses create personalized experiences for their customers through data analytics, machine learning, and AI."
192,Cloud Computing for Non-Profits: Challenges and Opportunities,"This article explores the challenges and opportunities of cloud computing for non-profit organizations, including cost savings, data security, and collaboration."
193,Cloud Computing for Nonprofits: Making a Difference in the Cloud,"Discover how non-profit organizations are leveraging cloud computing to improve their services, increase their reach, and make a difference in the world."
194,Cloud Computing for Small Businesses: Advantages and Best Practices,"Find out how cloud computing can benefit small businesses, including cost savings, scalability, and flexibility, and learn about best practices for successful cloud adoption."
195,Cloud Computing for Small Businesses: Benefits and Challenges,"This article discusses the benefits and challenges of cloud computing for small businesses, including cost savings, security, and integration with existing IT systems."
196,Cloud Computing for Startups: How to Get the Most Out of it,"Learn how startups can leverage cloud computing to accelerate their growth, reduce costs, and improve their agility, and get tips on how to choose the right cloud provider."
197,Cloud Computing in Agriculture: Farming in the Cloud,"This article explores the potential of cloud computing to transform the agriculture industry, from optimizing crop yields to improving supply chain management."
198,Cloud Computing in Education: Benefits and Use Cases,"Discover the benefits and use cases of cloud computing in education, including cost savings, collaboration, and remote learning."
199,Cloud Computing in Healthcare: Benefits and Challenges,"Learn how cloud computing is transforming the healthcare industry, from improving patient outcomes to reducing costs, and explore the challenges of cloud adoption in healthcare."
200,Cloud Computing in Healthcare: Opportunities and Challenges,"This article discusses the opportunities and challenges of cloud computing in healthcare, including data security, interoperability, and compliance with regulations."
201,Cloud Computing vs. On-Premises: Which One Is Right for Your Business?,"This article discusses the differences between cloud computing and on-premises computing, and how to determine which approach is best for your business."
202,Cloud Cost Optimization: Best Practices for Saving Money,"This article provides best practices for optimizing cloud costs, including monitoring usage, rightsizing resources, and leveraging discounts."
203,Cloud Governance: Best Practices for Managing Your Cloud Environment,"This article explains the importance of cloud governance and provides best practices for managing your cloud environment, including establishing policies, enforcing compliance, and monitoring usage."
204,Cloud Governance: Managing Risks and Compliance in the Cloud,"This article discusses the risks and compliance challenges associated with cloud computing and provides best practices for managing them, including risk assessment, compliance management, and security monitoring."
205,Cloud Migration Strategies for Enterprises,"This article outlines the key considerations and strategies for migrating enterprise applications and data to the cloud, including assessing workloads, choosing the right migration approach, and managing the migration process."
